Species,Cropland (Low elevation),Native forest,Eucalyptus monoculture,Cropland (Mid elevation),Native forest,Bamboo monoculture,Mixed forest,Cropland (High elevation),Native forest,Japanese cedar monoculture,Mixed forest
Black Baza,,,,Y,,Y,Y,Y,,Y,Y
Mountain Hawk-eagle,,,,,,,,,Y,,
Chinese Sparrowhawk,,,,Y,,,,Y,,Y,
Besra,,,,,,,Y,,,,
Speckled Wood Pigeon,,,,,,,,,,,Y
Wedge-tailed Green Pigeon,,,,,,,,,Y,,
Fork-tailed Drongo-cuckoo,,,,,Y,Y,Y,,Y,Y,Y
Asian Lesser Cuckoo,,,,,Y,,,,Y,Y,Y
Indian Cuckoo,Y,Y,Y,Y,Y,,Y,,,,Y
Himalayan Cuckoo,,Y,Y,,Y,,,,Y,Y,
Collared Owlet,Y,,,Y,,,,,Y,,
Great Barbet,,Y,Y,,Y,,,,Y,,Y
Speckled Piculet,,,,,,,Y,,Y,,Y
Grey-capped Pygmy Woodpecker,,,,,,,,,Y,Y,
Darjeeling Woodpecker,,,,,,,,,Y,,
Bay Woodpecker,,,,,Y,,Y,,Y,,Y
Swinhoe's Minivet,Y,,,Y,Y,,,,,,
Grey-chinned Minivet,,,,,,,,,Y,Y,
Long-tailed Minivet,,,Y,,,,,,Y,,
Short-billed Minivet,,,,,,,,,Y,,
Tiger Shrike,Y,,Y,,,,,,,,
Blyth's Shrike Babbler,,,,,,,Y,,,,Y
Green Shrike Babbler,,,,,Y,,Y,,Y,,
Ashy Drongo,,Y,Y,,Y,,,,,,
Hair-crested Drongo,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Asian Paradise-flycatcher,Y,,Y,,,,,,Y,,
Eurasian Jay,,Y,Y,,Y,Y,Y,,Y,Y,Y
Grey Treepie,,,,,Y,,,,Y,Y,
Grey-headed Canary Flycatcher,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Yellow-bellied Tit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Green-backed Tit,,,,,,,,Y,Y,Y,Y
Chestnut Bulbul,,,Y,,,,Y,,,,
Black Bulbul,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Pygmy Wren-babbler,,,,,,,Y,,Y,Y,Y
Rufous-faced Warbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Ashy-throated Warbler,,,Y,,,,Y,,Y,,
Chinese Leaf Warbler,,,,,,,,,,Y,Y
Hume's Leaf Warbler,,,,,,,,,Y,,
Large-billed Leaf Warbler,,,,,,,,,Y,,
Blyth's Leaf Warbler,,,,,Y,Y,Y,Y,Y,Y,Y
Claudia's Leaf Warbler,,,,,Y,,,,,Y,
Emei Leaf Warbler,,,,,,,,,Y,,
Kloss's Leaf Warbler,,,Y,,Y,,,,,,Y
Sichuan Leaf Warbler,,,,,,,,,Y,,
Sulphur-breasted Warbler,,,,Y,Y,Y,Y,,Y,Y,Y
Grey-crowned Warbler,,,Y,Y,,,Y,Y,Y,Y,Y
Bianchi's Warbler,,,,,,,,Y,Y,Y,
Martens's Warbler,,,,,,,,,Y,,
Plain-tailed Warbler,,,,,,,,,Y,Y,Y
Chestnut-crowned Warbler,,,,,,,,,Y,,
Dusky Fulvetta,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Black-throated Laughingthrush,,,,,,,,,,,Y
Red-winged Laughingthrush,,,,,,,,,,,Y
Red-billed Leiothrix,,Y,,Y,Y,Y,Y,Y,Y,Y,Y
Spectacled Fulvetta,,,,,,,,,Y,,
Streak-throated Fulvetta,,,,,,,,,,,Y
Grey-headed Parrotbill,,,,,Y,,Y,Y,Y,,Y
Striated Yuhina,,,Y,,,,,,Y,,
Black-chinned Yuhina,,,,,,,,,Y,,
Chestnut-flanked White-eye,,,,,,,,,Y,,
Lesser Shortwing,,,,,,,,,Y,Y,
White-tailed Robin,,,,,,,,,Y,Y,
Slaty-backed Forktail,,,,,Y,,Y,,Y,Y,Y
White-crowned Forktail,,Y,,,Y,Y,Y,,,Y,Y
Chestnut-bellied Rock Thrush,,,,,,,Y,,,,
Asian Brown Flycatcher,,Y,,,Y,,,,,,
Brown-breasted Flycatcher,,,,,,,Y,,,,
Ferruginous Flycatcher,,,,,,,,,Y,,
Slaty-backed Flycatcher,,,,,,,,,,Y,
Rufous-gorgeted Flycatcher,,,,,,,,,Y,,
Chinese Blue Flycatcher,,,Y,,Y,Y,Y,Y,Y,Y,Y
Fujian Niltava,,,,,,,,,Y,,
Fire-breasted Flowerpecker,,Y,,,Y,,,,,,Y
Mrs Gould's Sunbird,,,,,Y,,,,,,
Fork-tailed Sunbird,,Y,Y,,Y,Y,,,,Y,Y
Forest Wagtail,Y,,,Y,,,,,,,
Collared Grosbeak,,,,,,,,,Y,,
rown Bullfinch,,,,,,,,,Y,,
Chinese Bamboo Partridge,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Common Pheasant,,Y,Y,,,,Y,,,,
Crested Honey-buzzard,,,,,,,,,Y,,
Eurasian Sparrowhawk,,,,,,,,Y,,Y,
Grey-faced Buzzard,,,,,,,,,Y,,
Oriental Turtle Dove,Y,Y,Y,Y,,,Y,Y,,Y,
Lesser Coucal,Y,,,,,,,,,,
Chestnut-winged Cuckoo,,Y,Y,Y,,Y,,,Y,Y,
Asian Koel,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Large Hawk-cuckoo,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Common Cuckoo,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Collared Scops Owl,,,Y,,,,,,,,
Asian Barred Owlet,,Y,,Y,Y,,,,Y,,Y
Grey-headed Woodpecker,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Black-naped Oriole,Y,Y,Y,,Y,Y,,,,,
Red-billed Blue Magpie,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Great Tit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Collared Finchbill,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y
Brown-breasted Bulbul,Y,,Y,Y,,Y,Y,Y,,,
Light-vented Bulbul,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Mountain Bulbul,,,,,,Y,Y,,Y,,
Brownish-flanked Bush Warbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Black-throated Bushtit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Russet Bush Warbler,,,,,,Y,,,Y,,Y
Spotted Bush Warbler,,,,,,,,,,Y,
Black-streaked Scimitar Babbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Streak-breasted Scimitar Babbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Rufous-capped Babbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
David's Fulvetta,Y,Y,Y,,Y,Y,Y,,Y,Y,Y
Hwamei,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
White-browed Laughingthrush,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Vinous-throated Parrotbill,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
Ashy-throated Parrotbill,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Spot-breasted Parrotbill,Y,,,Y,,,,,Y,,
Japanese White-eye,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Common Blackbird,Y,Y,Y,Y,Y,,Y,Y,,Y,
Oriental Magpie Robin,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Daurian Redstart,Y,,,Y,,,,,,,
Plumbeous Water Redstart,,,,,,Y,Y,Y,,,Y
Blue Whistling Thrush,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Grey Bushchat,Y,,,Y,,,Y,Y,Y,Y,Y
Verditer Flycatcher,,Y,,,Y,,,,Y,,
Russet Sparrow,,,,Y,,,,Y,,,
Grey Wagtail,Y,,,Y,,Y,,Y,Y,,Y
Chinese Grosbeak,Y,,,,,Y,Y,,,,
Grey-capped Greenfinch,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Meadow Bunting,,,,,,,,Y,,,
Little Bunting,,,,Y,,,,Y,,,
Yellow-throated Bunting,Y,,Y,Y,,Y,Y,Y,Y,Y,Y
Black-faced Bunting,,,,Y,,,,Y,,,
Chinese Pond Heron,Y,,,Y,,,,Y,,,
Eastern Cattle Egret,Y,,,Y,,,,Y,,,
Intermediate Egret,,,,,,,,Y,,,
Little Egret,Y,,Y,Y,,,,Y,,,
Himalayan Buzzard,,,Y,,,,,,,,
White-breasted Waterhen,Y,Y,Y,Y,,,,,,,
Ruddy-breasted Crake,,,,Y,,,,Y,,,
Spotted Dove,Y,Y,Y,,Y,,,,,,
Common Kingfisher,Y,,,,,,,,,,
Common Hoopoe,Y,,Y,Y,,,,,,,
Long-tailed Shrike,Y,Y,Y,Y,Y,,Y,Y,,,
Black Drongo,Y,,,,,,,,,,
Large-billed Crow,,,,,,,,,Y,,
Barn Swallow,Y,,,Y,Y,,,Y,Y,,Y
Red-rumped Swallow,Y,Y,,Y,,Y,Y,Y,,Y,
Striated Prinia,,,Y,,,,,,,,
Plain Prinia,Y,,,Y,,,,Y,,,
Crested Myna,Y,,,Y,,,,Y,,,
Red-billed Starling,Y,,,Y,,,,,,,
Siberian Stonechat,Y,,,Y,,,,Y,,,
House Sparrow,Y,,,Y,,,,,,,
Eurasian Tree Sparrow,Y,Y,,Y,,,Y,Y,,,
White-rumped Munia,Y,,,Y,,Y,Y,Y,,Y,
White Wagtail,Y,Y,,Y,,Y,Y,Y,Y,Y,
Crested Bunting,,,,,,,,Y,,,
Black Eagle,,,,,,,,,,,Y
Collared Owlet,,,,,,,,,Y,,Y
Great Barbet,,Y,Y,,Y,,,,Y,,
Speckled Piculet,,,Y,,Y,,Y,,Y,,
Rufous-bellied Woodpecker,,Y,,,Y,,,,,,
Grey-capped Pygmy Woodpecker,,,,,Y,,,,Y,,
Crimson-breasted Woodpecker,,,,,Y,,,,Y,,
White-backed Woodpecker,,,,,,,,,Y,,
Bay Woodpecker,,Y,,,Y,,Y,,Y,,
Blyth's Shrike Babbler,,,,,Y,,Y,,Y,,Y
Green Shrike Babbler,,,,,Y,,,,Y,,Y
Eurasian Jay,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Grey Treepie,,Y,,,Y,,,,Y,,
Grey-headed Canary Flycatcher,,,,,,,Y,,,,
Yellow-browed Tit,,Y,Y,,Y,,Y,Y,Y,Y,Y
Yellow-bellied Tit,,Y,,,Y,,Y,,Y,Y,Y
Green-backed Tit,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
Black Bulbul,,Y,,,Y,,,,Y,,
Scaly-breasted Wren-babbler,,Y,Y,,Y,Y,Y,,Y,Y,Y
Pygmy Wren-babbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Rufous-faced Warbler,Y,Y,Y,,Y,Y,Y,Y,Y,,Y
Chestnut-headed Tesia,,Y,,,Y,,Y,,,,
Black-browed Bushtit,,,,,Y,,,,Y,,
Dusky Warbler,,,Y,,,,Y,,Y,,
Buff-barred Warbler,,,,,Y,,,,Y,,
Ashy-throated Warbler,Y,,,Y,,,Y,,,,
Pallas's Leaf Warbler,Y,Y,Y,Y,Y,,,,,,
Yellow-browed Warbler,,,Y,,,Y,,,,Y,
Claudia's Leaf Warbler,,,,,,,Y,,,,
Sichuan Leaf Warbler,Y,Y,Y,Y,Y,,Y,,Y,,Y
Chestnut-crowned Warbler,,,,,,Y,,,,,
Dusky Fulvetta,,,,,Y,Y,Y,,Y,,Y
Moustached Laughingthrush,,,,,Y,,Y,,Y,,
White-throated Laughingthrush,,,,Y,Y,,,,Y,,Y
Rufous Laughingthrush,,,,,Y,,,,Y,,
Elliot's Laughingthrush,,Y,,,Y,,,,Y,,Y
Black-faced Laughingthrush,,,,,,,,,Y,,Y
Red-winged Laughingthrush,,Y,,,Y,,Y,,Y,,
Blue-winged Minla,,Y,,,Y,,,,,,
Red-tailed Minla,,Y,,,Y,,Y,,Y,,
Emei Shan Liocichla,,Y,,,Y,,,,Y,Y,
Red-billed Leiothrix,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Black-headed Sibia,,Y,,,Y,,Y,,Y,,
Golden-breasted Fulvetta,,,,,Y,Y,Y,,Y,Y,Y
Streak-throated Fulvetta,,,,,,,,Y,Y,Y,
Golden Parrotbill,,Y,,,Y,Y,,,Y,,Y
Grey-headed Parrotbill,,,,,Y,,Y,,,,
Striated Yuhina,,Y,,,Y,,,,Y,,
Stripe-throated Yuhina,,,,,Y,,Y,Y,Y,,Y
White-collared Yuhina,,,,,Y,,Y,,Y,,Y
Black-chinned Yuhina,,Y,,,Y,,Y,,Y,,Y
Chestnut-flanked White-eye,,,,,,,Y,,,,
Goldcrest,,,,,Y,,,,Y,Y,
Eurasian Wren,,Y,Y,,Y,Y,Y,,Y,Y,Y
Eurasian Nuthatch,,Y,,,Y,,,,Y,,
Eurasian Treecreeper,,,,,,,,,,,Y
Bar-tailed Treecreeper,,,,,Y,,,,,,
Scaly Thrush,,,,,Y,,,,Y,,
Grey-winged Blackbird,,,,,Y,,,,Y,,
Chestnut Thrush,Y,,,Y,Y,,,,Y,,Y
Naumann's Thrush,,,,,Y,,,,Y,,
White-browed Bush Robin,,,,,,,,,,,Y
Orange-flanked Bluetail,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Himalayan Bluetail,,,,,,,Y,,,,
White-tailed Robin,,Y,,,Y,,,,Y,,
Little Forktail,,,,,,,Y,,,,
Slaty-backed Forktail,,Y,,,Y,,,,,,
White-crowned Forktail,,Y,,,Y,Y,Y,,Y,,
Chestnut-bellied Rock Thrush,,Y,,,Y,,Y,,,,
Rufous-gorgeted Flycatcher,,Y,Y,,Y,,,,Y,,
Fujian Niltava,,Y,,,Y,,,,,,
Rufous-bellied Niltava,,Y,,,Y,,,,,,
Fork-tailed Sunbird,,,,,Y,,,,,,
Brown Bullfinch,,,,,,,Y,,,,
Grey-headed Bullfinch,,,,,Y,,,,Y,,
Vinaceous Rosefinch,,Y,,,Y,,Y,,Y,,
Eurasian Siskin,,,,,,,,,Y,,
Slaty Bunting,,Y,,,Y,,Y,,Y,Y,Y
Tristram's Bunting,,,,,,,,,Y,,
Rustic Bunting,Y,,,Y,,,Y,Y,,,
Chinese Bamboo Partridge,,Y,Y,,Y,Y,Y,,Y,,Y
Common Pheasant,Y,,,,,,Y,,,,Y
Crested Honey-buzzard,,,,,,,,,,,Y
Eurasian Sparrowhawk,,,,,,,,Y,,,
Northern Goshawk,,,,,,,,,Y,,
Oriental Turtle Dove,Y,,Y,Y,Y,,,Y,Y,,
Grey-headed Woodpecker,Y,,Y,Y,Y,,Y,Y,Y,,
Black-naped Oriole,,Y,,,Y,,,,Y,,
Red-billed Blue Magpie,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Great Tit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Collared Finchbill,,Y,Y,,Y,,Y,,Y,,Y
Brown-breasted Bulbul,Y,Y,Y,Y,,Y,Y,,,Y,
Light-vented Bulbul,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Mountain Bulbul,,Y,,,Y,,,,Y,,
Brownish-flanked Bush Warbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Yellowish-bellied Bush Warbler,,,,,,,Y,,,,Y
Grey-sided Bush Warbler,,Y,,,Y,,,,Y,,
Black-throated Bushtit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Buff-throated Warbler,Y,,Y,Y,,,,Y,,,
Black-streaked Scimitar Babbler,,Y,,,Y,,Y,,Y,Y,Y
Streak-breasted Scimitar Babbler,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Rufous-capped Babbler,,Y,,Y,Y,Y,Y,Y,Y,Y,Y
David's Fulvetta,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
Hwamei,,Y,,Y,Y,Y,Y,Y,Y,Y,Y
White-browed Laughingthrush,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Vinous-throated Parrotbill,Y,Y,Y,,Y,,Y,,,Y,
Ashy-throated Parrotbill,,Y,Y,,Y,Y,Y,Y,Y,Y,Y
Japanese White-eye,,,Y,,,,,,,,
Common Blackbird,Y,Y,,,Y,Y,,,,,
Dusky Thrush,,,,,Y,,,,Y,,Y
Oriental Magpie Robin,Y,Y,Y,Y,Y,Y,,Y,,,
Daurian Redstart,Y,,Y,Y,Y,,Y,Y,Y,,
Blue-fronted Redstart,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
Plumbeous Water Redstart,Y,Y,,Y,Y,,,Y,,Y,
White-capped Water Redstart,,Y,,Y,Y,,,Y,Y,,Y
Blue Whistling Thrush,Y,,,Y,Y,,Y,,Y,,
Grey Bushchat,,Y,,Y,Y,,,Y,,,
Grey Wagtail,Y,Y,Y,Y,Y,,,Y,,,
Olive-backed Pipit,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Brambling,Y,,Y,Y,,,Y,Y,,,Y
Chinese Grosbeak,Y,,,,,,,,,,
Japanese Grosbeak,Y,,,,,,,,,,
Common Rosefinch,,,,,,,,,,,Y
Grey-capped Greenfinch,Y,Y,Y,Y,Y,,Y,Y,,Y,
Little Bunting,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y
Yellow-throated Bunting,Y,,Y,Y,,,Y,,Y,Y,
Black-faced Bunting,Y,,,Y,,,,Y,Y,,
Mallard,,,,Y,,,,Y,,,
Chinese Pond Heron,,,,Y,,,,Y,,,
Grey Heron,Y,,,,,,,,,,
Little Egret,Y,,,Y,,,,Y,,,
Eastern Buzzard,,,,,,,,Y,,,
Northern Lapwing,Y,,,,,,,,,,
Spotted Dove,Y,,Y,Y,,,,,,,
Common Kingfisher,Y,,,,,,,,,,
Brown Shrike,,,,,,,,Y,,,
Long-tailed Shrike,Y,,Y,Y,,,,Y,,,Y
Common Magpie,Y,,,,,,,,,,
Carrion Crow,,,,,,,,,Y,,
Large-billed Crow,,,,,Y,,,,Y,,Y
Zitting Cisticola,Y,,,,,,,,,,
Plain Prinia,Y,,,Y,,,,,,,
Red-billed Starling,,Y,Y,,Y,,,,,,
Black-collared Starling,Y,,,,,,,,,,
Siberian Stonechat,Y,,,Y,,,,Y,,,
Eurasian Tree Sparrow,Y,,Y,,,,,,,,
White-rumped Munia,Y,Y,Y,Y,Y,,Y,Y,Y,,
White Wagtail,Y,,Y,,,Y,Y,Y,,,
Rosy Pipit,Y,,,Y,,,,Y,,,
Red-throated Pipit,,,,,,,,Y,,,
Buff-bellied Pipit,,,,,,,Y,,,,Y